graph_id,vertices,edges,density,variant,source,weight_model,num_sccs,operations_count,execution_time_ns
1,6,7,sparse,pure_dag,0,node,6,26,18700
2,8,17,sparse,one_cycle,4,node,2,50,15700
3,10,28,sparse,two_cycles,1,node,1,76,19700
4,6,12,dense,pure_dag,0,node,6,36,16100
5,8,28,dense,one_cycle,2,node,1,72,18300
6,10,42,dense,two_cycles,4,node,1,104,22800
7,14,36,sparse,one_cycle,0,node,2,100,29000
8,16,38,sparse,two_cycles,5,node,2,108,52900
9,20,43,sparse,multiple_sccs,2,node,3,126,37400
10,14,94,dense,one_cycle,4,node,1,216,27800
11,16,113,dense,two_cycles,6,node,1,258,32400
12,20,115,dense,multiple_sccs,2,node,3,270,31700
13,30,147,sparse,pure_dag,0,node,30,354,105500
14,40,109,sparse,multiple_sccs,12,node,2,298,144100
15,50,461,sparse,two_cycles,14,node,1,1022,100600
16,30,322,dense,pure_dag,0,node,30,704,218700
17,40,397,dense,multiple_sccs,5,node,4,874,163000
18,50,1307,dense,two_cycles,25,node,1,2714,599000
