graph_id,vertices,edges,density,variant,source,weight_model,operations_count,execution_time_ns
1,6,7,sparse,pure_dag,0,node,13,7400
2,8,17,sparse,one_cycle,4,node,25,6600
3,10,28,sparse,two_cycles,1,node,38,6800
4,6,12,dense,pure_dag,0,node,18,7600
5,8,28,dense,one_cycle,2,node,36,6100
6,10,42,dense,two_cycles,4,node,52,7800
7,14,36,sparse,one_cycle,0,node,50,10800
8,16,38,sparse,two_cycles,5,node,54,9600
9,20,43,sparse,multiple_sccs,2,node,63,9000
10,14,94,dense,one_cycle,4,node,108,13900
11,16,113,dense,two_cycles,6,node,129,8800
12,20,115,dense,multiple_sccs,2,node,135,19600
13,30,147,sparse,pure_dag,0,node,177,35300
14,40,109,sparse,multiple_sccs,12,node,149,33600
15,50,461,sparse,two_cycles,14,node,511,65800
16,30,322,dense,pure_dag,0,node,352,52200
17,40,397,dense,multiple_sccs,5,node,437,53700
18,50,1307,dense,two_cycles,25,node,1357,167200
